COUNTRY;YEAR;CODE;NDN;NDC;NDC per 1000 borns;NDN per 1000 borns;HE;PPV;RVC ;GNI;PBSF ;PB ;BR;PISF ;DD;PMS ;PFS ;HIV;LE ;TP;PPHIV 
Israel;2012;ISR2012;1;17;0,090651582243381;0,005332446014317;2393;93;Yes;32180;100;187531,2;21,6;100;366;42;20;7000;72,8;8682000;0,080626583736466
Israel;2013;ISR2013;2;11;0,059483059765334;0,010815101775515;2599;94;Yes;34310;100;184926,6;21,3;100;372;42;20;7000;72,8;8682000;0,080626583736466
Netherlands;2012;NLD2012;3;19;0,105987454432367;0,016734861226163;5836;96;Yes;52500;97,8;179266,5;10,5;98;497;28;25;500;72,2;17073000;0,002928600714579
Netherlands;2013;NLD2013;0;11;0,06316589776542;0;6145;96;Yes;52330;97,8;174144,6;10,2;98;499;27;25;500;72,2;17073000;0,002928600714579
United Arab Emirates;2000;ARE2000;2;31;0,206117021276596;0,013297872340426;753;90;Yes;40390;97,5;150400;16;100;38;18,1;2,5;4000;65,4;9400000;0,042553191489362
Belgium;2012;BEL2012;2;3;0,022851223302154;0,015234148868103;4742;93;Yes;47190;99,5;131284;11,5;99;368;28;21;300;71,1;11416000;0,002627890679748
Belgium;2013;BEL2013;0;26;0,203348683551907;0;5093;93;Yes;47330;99,5;127859,2;11,2;99;369;28;21;300;71,1;11416000;0,002627890679748
Belgium;2000;BEL2000;2;8;0,063706440721157;0,015926610180289;1845;92;Yes;26040;99,5;125576;11;99;339;36;24;300;68;11416000;0,002627890679748
Portugal;2000;PRT2000;1;26;0,210642296973232;0,008101626806663;1064;80;No;12140;99,5;123432;12;97;112;36;16;210;67,6;10286000;0,002041609955279
Sweden;2012;SWE2012;3;10;0,084278019702515;0,025283405910755;5293;98;Yes;58240;99,3;118654,9;11,9;99;23;22;23;1000;72;9971000;0,010029084344599
Belarus;2013;BLR2013;6;32;0,270042194092827;0,050632911392405;463;5;No;7010;94,4;118500;12,5;94;47;48;11;1800;65,2;9480000;0,018987341772152
Sweden;2013;SWE2013;1;12;0,101990688250163;0,008499224020847;5680;98;Yes;60920;99,3;117657,8;11,8;99;24;21;22;1000;72;9971000;0,010029084344599
Belarus;2012;BLR2012;6;36;0,311267897904129;0,051877982984022;339;5;No;6620;94,4;115656;12,2;94;47;49;11;1800;65,2;9480000;0,018987341772152
Czech Republic;2012;CZE2012;1;18;0,165317644076623;0,009184313559812;1411;60;Yes;19350;99,1;108881,3;10,3;99;136;38;29;500;69,5;10571000;0,004729921483303
Czech Republic;2013;CZE2013;4;29;0,268956319638819;0,037097423398458;1367;70;Yes;19270;99,1;107824,2;10,2;99;136;37;29;500;69,5;10571000;0,004729921483303
Greece;2000;GRC2000;3;26;0,242401640872646;0,02796942010069;918;32;Yes;13330;99;107260;10;97;84;63;42;1000;69,5;10726000;0,009323140033563
United Arab Emirates;2012;ARE2012;3;34;0,328820116054159;0,029013539651838;1235;96;Yes;40390;97,5;103400;11;100;106;18,1;2,5;4000;68,3;9400000;0,042553191489362
United Arab Emirates;2013;ARE2013;3;34;0,328820116054159;0,029013539651838;1569;99;Yes;44200;97,5;103400;11;100;108;18,1;2,5;4000;68,3;9400000;0,042553191489362
Sweden;2000;SWE2000;2;7;0,070203590412195;0,020058168689199;2282;92;Yes;31220;99,3;99710;10;99;22;33;35;500;69,7;9971000;0,0050145421723
Greece;2012;GRC2012;0;21;0,215149385389922;0;2070;32;Yes;23500;99;97606,6;9,1;98;86;54;34;1000;71,9;10726000;0,009323140033563
Kuwait;2000;KWT2000;4;34;0,357326775336045;0,042038444157182;494;90;Yes;17930;100;95151;23;100;115;35;11;100;64;4137000;0,002417210539038
Czech Republic;2000;CZE2000;3;23;0,24175154247995;0,031532809888689;361;50;Yes;6310;99,1;95139;9;99;133;41;30;100;65,8;10571000;0,000945984296661
Switzerland;2000;CHE2000;2;6;0,064619659454395;0,021539886484798;3541;60;Yes;43460;99,9;92851;11;100;182;35;26;4000;69,9;8441000;0,047387750266556
Greece;2013;GRC2013;1;25;0,271021512603584;0,010840860504143;2146;32;Yes;22540;99;92243,6;8,6;98;85;54;34;1000;71,9;10726000;0,009323140033563
Lebanon;2013;LBN2013;11;43;0,475456808950618;0,121628486010623;631;80;No;8450;80,7;90439,34;14,87;92;516;44;29;200;65,7;6082000;0,003288391976324
Hungary;2012;HUN2012;6;30;0,33691398024561;0,067382796049122;999;90;Yes;12910;98;89043,5;9,1;98;110;35;27;1000;67,4;9785000;0,01021972406745
Hungary;2013;HUN2013;5;26;0,295236473059672;0,056776244819168;1056;92;Yes;13430;98;88065;9;98;109;34;26;1000;67,4;9785000;0,01021972406745
Austria;2000;AUT2000;3;8;0,091220068415051;0,034207525655644;2406;85;Yes;26790;100;87700;10;100;97;46;41;240;69;8770000;0,002736602052452
Portugal;2012;PRT2012;0;2;0,022875181571754;0;2000;80;No;21150;99,5;87431;8,5;99;115;32;14;210;71,4;10286000;0,002041609955279
Switzerland;2012;CHE2012;1;3;0,034505643397978;0,011501881132659;9071;65;Yes;84500;99,9;86942,3;10,3;100;192;28;21;4000;73,1;8441000;0,047387750266556
Kuwait;2012;KWT2012;3;37;0,425889475925734;0,034531579129114;1446;99;Yes;49950;100;86877;21;100;191;35;11;100;65,7;4137000;0,002417210539038
Kuwait;2013;KWT2013;1;43;0,494952634183961;0,011510526376371;1507;99;Yes;51990;100;86877;21;100;202;35;11;100;65,7;4137000;0,002417210539038
