COUNTRY;YEAR;CODE;NDN;HE;PPV;RVC ;GNI;PBSF ;PB ;BR;PISF ;DD;PMS ;PFS ;HIV;LE ;TP;PPHIV 
Guinea-Bissau;2013;GNB2013;4;32;8;Yes;620;20,5;70718;38;20;60;12,5;2;1300;51,5;1861000;0,069854916711446
Guinea-Bissau;2012;GNB2012;4;31;3;Yes;610;20,2;70718;38;20;58;12,5;2;1300;51,5;1861000;0,069854916711446
Senegal;2000;SEN2000;3;22;70;Yes;510;46,1;618189;39;39;51;18;1;5300;50,4;15851000;0,033436376253864
South Sudan;2012;SSD2012;4;25;1;No;830;6,6;477888;38;8;21;8,3;1;16000;49,9;12576000;0,127226463104326
Haiti;2012;HTI2012;3;73;10;Yes;750;26,7;285506;26;29;373;21;3;7900;55,4;10981000;0,071942446043166
Haiti;2013;HTI2013;3;77;15;Yes;800;27,1;274525;25;29;379;21;3;7900;55,4;10981000;0,071942446043166
Swaziland;2000;SWZ2000;2;75;45;Yes;1580;57,5;45111;33;49;62;16;3;17000;42;1367000;1,24359912216533
Angola;2012;AGO2012;3;190;5;Yes;3820;49,1;1370064;46;36;20;16,7;1,6;25000;45,9;29784000;0,083937684662906
Cameroon;2000;CMR2000;3;26;80;Yes;680;45,2;986214;41;40;32;12;1;60000;44,7;24054000;0,249438762783737
Zambia;2000;ZMB2000;3;23;60;Yes;330;43,2;769230;45;26;14;31;6;81000;38,3;17094000;0,473850473850474
Guinea;2000;GIN2000;3;12;5;No;380;18,9;546831;43;9;36;12,5;2;9400;45,7;12717000;0,073916804277739
South Sudan;2013;SSD2013;4;18;1;No;990;6,7;465312;37;9;21;8,3;1;16000;49,9;12576000;0,127226463104326
Nigeria;2000;NGA2000;3;17,2;2;Yes;270;29,9;8208098;43;36;134;11;2;340000;41;190886000;0,178116781744078
Ethiopia;2000;ETH2000;4;5;25;Yes;120;24,3;4618108;44;3;67;9;1;85000;44,3;104957000;0,080985546461884
Liberia;2000;LBR2000;3;11;20;Yes;150;16,1;203476;43;13;30;18;4;4500;43,9;4732000;0,095097210481826
Central African Republic;2000;CAF2000;4;11;15;Yes;250;21,5;186360;40;15;6;15,9;1,5;12000;39,8;4659000;0,25756600128783
Nigeria;2012;NGA2012;4;90,5;4;Yes;2480;29,9;7721338,7;40,45;33;184;16;1;220000;47,7;190886000;0,115252035246168
Nigeria;2013;NGA2013;4;109,4;5;Yes;2700;29,6;7635440;40;33;189;16;1;220000;47,7;190886000;0,115252035246168
Cambodia;2000;KHM2000;3;17;20;Yes;300;37,2;448140;28;12;69;51;8;8800;45,5;16005000;0,054982817869416
Timor-Leste;2000;TLS2000;3;18;1;No;4090;39,8;57024;44;41;58;61;21;5000;52,2;1296000;0,385802469135802
Chad;2000;TCD2000;3;10;5;No;180;12;759900;51;10;7;14,1;2,3;11000;40,9;14900000;0,073825503355705
Haiti;2000;HTI2000;3;26;5;Yes;470;26,7;340411;31;17;310;18;4;11000;51,2;10981000;0,100173026136053
Lao People's Democratic Republic;2000;LAO2000;4;11;60;Yes;280;64,6;219456;32;28;23;74;21;1000;51;6858000;0,014581510644503
Central African Republic;2012;CAF2012;5;18;23;Yes;500;21,5;158406;34;25;7;15,9;1,5;8700;45,9;4659000;0,186735350933677
Guinea-Bissau;2000;GNB2000;4;16;1;Yes;200;20,2;76301;41;12;44;12,5;2;4500;45,4;1861000;0,241805480924234
Mali;2000;MLI2000;3;16;60;Yes;280;23,3;908558;49;19;9;21;4;11000;43,3;18542000;0,059324776183799
Sierra Leone;2000;SLE2000;3;21;75;Yes;140;12,8;347622;46;10;63;40;21;5300;34,2;7557000;0,070133650919677
Central African Republic;2013;CAF2013;5;13;47;Yes;330;21,6;158406;34;25;7;15,9;1,5;8700;45,9;4659000;0,186735350933677
Niger;2000;NER2000;3;9;2;Yes;170;10,1;1138281;53;6;9;9;1;7600;43,6;21477000;0,035386692741072
Rwanda;2000;RWA2000;3;9;90;Yes;240;59,1;488320;40;44;325;16,3;7;22000;40;12208000;0,180209698558322
Chad;2012;TCD2012;4;37;5;No;960;12;685400;46;10;10;14,1;2,3;4800;46,1;14900000;0,032214765100671
Chad;2013;TCD2013;4;37;5;No;980;12;685400;46;10;10;14,1;2,3;4800;46,1;14900000;0,032214765100671
Angola;2000;AGO2000;3;22;3;Yes;360;49,1;1459416;49;20;13;16,7;1,6;15000;39,3;29784000;0,050362610797744
